Race_ID,Race_Name,Finish_Position_Raw,Finish_Position,Horse_No,Horse_Name,Canonical_Horse_Identity,Frame_No,Sex_Age,Carried_Weight,Jockey,Finish_Time,Margin,Passing_Order,Last3F,Body_Weight,Trainer,Source_URL
202506030111,第73回日経賞(GII),6,6,5,ヴェルミセル,202506030111|5|ヴェルミセル,3,牝5,55,津村明秀,2:36.3,1/2,11-11-11-10,36.5,458(-8),[西] 吉村圭司,https://db.netkeiba.com/race/202506030111/
202506030111,第73回日経賞(GII),7,7,3,マイネルウィルトス,202506030111|3|マイネルウィルトス,2,牡9,57,横山武史,2:36.4,クビ,5-5-5-4,37.1,484(-2),[西] 宮徹,https://db.netkeiba.com/race/202506030111/
202506030111,第73回日経賞(GII),8,8,2,マテンロウレオ,202506030111|2|マテンロウレオ,2,牡6,57,横山典弘,2:36.5,1/2,3-3-3-4,37.4,478(-2),[西] 昆貢,https://db.netkeiba.com/race/202506030111/
202506030111,第73回日経賞(GII),9,9,1,アラタ,202506030111|1|アラタ,1,牡8,57,大野拓弥,2:36.5,アタマ,6-6-7-7,37.1,482(-4),[東] 和田勇介,https://db.netkeiba.com/race/202506030111/
202506030111,第73回日経賞(GII),10,10,9,ハヤヤッコ,202506030111|9|ハヤヤッコ,5,牡9,58,吉田豊,2:36.5,ハナ,11-11-13-10,36.6,482(-10),[東] 国枝栄,https://db.netkeiba.com/race/202506030111/
202506030111,第73回日経賞(GII),11,11,14,バビット,202506030111|14|バビット,8,牡8,57,戸崎圭太,2:36.5,ハナ,1-1-1-1,37.6,472(-4),[西] 浜田多実,https://db.netkeiba.com/race/202506030111/
202506030111,第73回日経賞(GII),12,12,13,シュヴァリエローズ,202506030111|13|シュヴァリエローズ,7,牡7,58,北村友一,2:36.6,クビ,14-14-14-14,36.5,466(+4),[西] 清水久詞,https://db.netkeiba.com/race/202506030111/
202506030111,第73回日経賞(GII),13,13,12,ホウオウノーサイド,202506030111|12|ホウオウノーサイド,7,牡6,57,杉原誠人,2:36.8,1.1/4,14-14-15-14,36.5,486(+4),[東] 奥村武,https://db.netkeiba.com/race/202506030111/
202506030111,第73回日経賞(GII),14,14,10,ブレイヴロッカー,202506030111|10|ブレイヴロッカー,6,牡5,57,石橋脩,2:36.8,ハナ,6-6-5-6,37.5,462(-2),[西] 本田優,https://db.netkeiba.com/race/202506030111/
202506030111,第73回日経賞(GII),15,15,4,マキシ,202506030111|4|マキシ,3,牡5,57,三浦皇成,2:36.8,アタマ,9-8-8-10,37.1,500(-14),[西] 辻野泰之,https://db.netkeiba.com/race/202506030111/
202501010811,第61回札幌記念(GII),1,1,9,トップナイフ,202501010811|9|トップナイフ,5,牡5,58,横山典弘,2:01.5,,12-11-5-3,36.2,484(-8),[西] 昆貢,https://db.netkeiba.com/race/202501010811/
202501010811,第61回札幌記念(GII),2,2,15,ココナッツブラウン,202501010811|15|ココナッツブラウン,8,牝5,56,北村友一,2:01.7,1,11-11-12-10,35.5,460(-10),[西] 上村洋行,https://db.netkeiba.com/race/202501010811/
202501010811,第61回札幌記念(GII),3,3,14,アラタ,202501010811|14|アラタ,7,牡8,58,浜中俊,2:01.8,3/4,14-14-14-10,35.0,472(+4),[東] 和田勇介,https://db.netkeiba.com/race/202501010811/
202501010811,第61回札幌記念(GII),4,4,6,ケイアイセナ,202501010811|6|ケイアイセナ,3,牡6,58,吉田隼人,2:01.8,ハナ,2-2-2-1,37.0,470(-12),[西] 平田修,https://db.netkeiba.com/race/202501010811/
202501010811,第61回札幌記念(GII),5,5,10,ヴェローチェエラ,202501010811|10|ヴェローチェエラ,5,牡4,58,佐々木大,2:01.9,1/2,15-16-14-13,35.1,500(+4),[西] 須貝尚介,https://db.netkeiba.com/race/202501010811/
202501010811,第61回札幌記念(GII),6,6,1,リビアングラス,202501010811|1|リビアングラス,1,牡5,58,鮫島克駿,2:02.2,1.1/2,4-5-6-6,36.8,496(-4),[西] 矢作芳人,https://db.netkeiba.com/race/202501010811/
202501010811,第61回札幌記念(GII),7,7,3,シュトルーヴェ,202501010811|3|シュトルーヴェ,2,セ6,58,キング,2:02.3,1/2,9-9-10-10,36.4,478(-4),[東] 堀宣行,https://db.netkeiba.com/race/202501010811/
202501010811,第61回札幌記念(GII),7,7,5,ホウオウビスケッツ,202501010811|5|ホウオウビスケッツ,3,牡5,58,岩田康誠,2:02.3,同着,3-3-3-3,37.1,514(+12),[東] 奥村武,https://db.netkeiba.com/race/202501010811/
202501010811,第61回札幌記念(GII),9,9,2,ボーンディスウェイ,202501010811|2|ボーンディスウェイ,1,牡6,58,木幡巧也,2:02.4,3/4,7-7-8-7,36.7,496(-2),[東] 牧光二,https://db.netkeiba.com/race/202501010811/
